iter	Passed	Remaining
555	4160	3322
556	4168	3315
557	4175	3307
558	4184	3300
559	4190	3292
560	4199	3286
561	4205	3277
562	4214	3271
563	4220	3262
564	4229	3256
565	4236	3248
566	4244	3241
567	4251	3233
568	4260	3227
569	4268	3220
570	4275	3212
571	4282	3204
572	4288	3196
573	4295	3188
574	4303	3180
575	4312	3174
576	4320	3167
577	4326	3159
578	4333	3150
579	4339	3142
580	4346	3134
581	4352	3126
582	4359	3118
583	4365	3109
584	4371	3101
585	4378	3093
586	4384	3084
587	4390	3076
588	4396	3067
589	4402	3059
590	4408	3051
591	4414	3042
592	4421	3034
593	4427	3026
594	4434	3018
595	4440	3009
596	4449	3003
597	4455	2995
598	4462	2987
599	4468	2978
600	4474	2970
601	4481	2962
602	4487	2954
603	4494	2946
604	4500	2938
605	4507	2930
606	4514	2922
607	4520	2914
608	4528	2907
609	4536	2900
610	4544	2893
611	4552	2886
612	4559	2878
613	4567	2871
614	4574	2863
615	4582	2856
616	4589	2848
617	4596	2841
618	4604	2833
619	4611	2826
620	4618	2818
621	4626	2811
622	4633	2804
623	4641	2796
624	4648	2788
625	4655	2781
626	4662	2773
627	4670	2766
628	4677	2759
629	4684	2751
630	4692	2744
631	4699	2736
632	4707	2729
633	4714	2721
634	4721	2714
635	4729	2706
636	4736	2699
637	4744	2691
638	4751	2684
639	4759	2676
640	4766	2669
641	4773	2662
642	4780	2654
643	4788	2647
644	4797	2640
645	4804	2633
646	4812	2625
647	4819	2618
648	4827	2610
649	4836	2604
650	4845	2597
651	4853	2590
652	4861	2583
653	4868	2575
654	4875	2568
655	4883	2560
656	4890	2553
657	4897	2545
658	4904	2537
659	4912	2530
660	4919	2523
661	4927	2515
662	4934	2508
663	4941	2500
664	4948	2493
665	4956	2485
666	4964	2478
667	4972	2471
668	4984	2466
669	4991	2458
670	4999	2451
671	5007	2444
672	5014	2436
673	5022	2429
674	5030	2421
675	5037	2414
676	5045	2407
677	5052	2399
678	5060	2392
679	5067	2384
680	5075	2377
681	5082	2370
682	5090	2362
683	5098	2355
684	5106	2348
685	5113	2340
686	5121	2333
687	5128	2325
688	5135	2318
689	5142	2310
690	5150	2303
691	5157	2295
692	5165	2288
693	5172	2280
694	5179	2273
695	5187	2265
696	5194	2258
697	5201	2250
698	5209	2243
699	5217	2236
700	5225	2228
701	5232	2221
702	5239	2213
703	5247	2206
704	5255	2199
705	5262	2191
706	5270	2184
707	5277	2176
708	5285	2169
709	5292	2161
710	5300	2154
711	5307	2147
712	5316	2140
713	5324	2132
714	5333	2125
715	5341	2118
716	5350	2111
717	5358	2104
718	5369	2098
719	5379	2091
720	5389	2085
721	5401	2079
722	5411	2073
723	5422	2066
724	5432	2060
725	5442	2054
726	5453	2047
727	5462	2040
728	5469	2033
729	5478	2026
730	5486	2018
731	5495	2012
732	5503	2004
733	5512	1997
734	5518	1989
735	5526	1982
736	5533	1974
737	5542	1967
738	5548	1959
739	5555	1952
740	5563	1944
741	5570	1937
742	5578	1929
743	5586	1922
744	5593	1914
745	5600	1906
746	5607	1899
747	5613	1891
748	5619	1883
749	5625	1875
750	5632	1867
751	5638	1859
752	5644	1851
753	5650	1843
754	5656	1835
755	5662	1827
756	5669	1819
757	5675	1811
758	5681	1803
759	5687	1796
760	5693	1788
761	5699	1780
762	5706	1772
763	5712	1764
764	5718	1756
765	5725	1749
766	5733	1741
767	5740	1734
768	5747	1726
769	5754	1719
770	5762	1711
771	5769	1703
772	5777	1696
773	5784	1689
774	5792	1681
775	5802	1674
776	5810	1667
777	5819	1660
778	5826	1653
779	5834	1645
780	5841	1637
781	5848	1630
782	5856	1623
783	5863	1615
784	5871	1608
785	5879	1600
786	5886	1593
787	5893	1585
788	5901	1578
789	5908	1570
790	5916	1563
791	5923	1555
792	5930	1548
